,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
1,1,1,2,3,2,3.0,2.0
2,1,1,4,18,27,18.0,27.0
3,1,1,8,28,130,28.0,130.0
4,1,1,16,59,448,59.0,448.0
0,1,1,1,5,6,5.0,6.0
1,1,1,2,11,15,11.0,15.0
2,1,1,4,16,24,16.0,24.0
3,1,1,8,24,78,24.0,78.0
4,1,1,16,61,416,61.0,416.0
0,1,1,1,5,6,5.0,6.0
1,1,1,2,8,7,8.0,7.0
2,1,1,4,19,58,19.0,58.0
3,1,1,8,31,106,31.0,106.0
4,1,1,16,56,392,56.0,392.0
0,1,1,1,2,1,2.0,1.0
1,1,1,2,6,11,6.0,11.0
2,1,1,4,12,22,12.0,22.0
3,1,1,8,28,88,28.0,88.0
4,1,1,16,55,240,55.0,240.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,10,16,10.0,16.0
2,1,1,4,14,11,14.0,11.0
3,1,1,8,29,135,29.0,135.0
4,1,1,16,59,255,59.0,255.0
0,1,1,1,6,9,6.0,9.0
1,1,1,2,11,38,11.0,38.0
2,1,1,4,18,54,18.0,54.0
3,1,1,8,28,97,28.0,97.0
4,1,1,16,71,577,71.0,577.0
0,1,1,1,7,11,7.0,11.0
1,1,1,2,6,9,6.0,9.0
2,1,1,4,15,36,15.0,36.0
3,1,1,8,26,52,26.0,52.0
4,1,1,16,64,616,64.0,616.0
0,1,1,1,5,4,5.0,4.0
1,1,1,2,10,23,10.0,23.0
2,1,1,4,17,35,17.0,35.0
3,1,1,8,33,126,33.0,126.0
4,1,1,16,83,794,83.0,794.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,11,18,11.0,18.0
2,1,1,4,11,5,11.0,5.0
3,1,1,8,32,151,32.0,151.0
4,1,1,16,66,455,66.0,455.0
0,1,1,1,2,4,2.0,4.0
1,1,1,2,9,8,9.0,8.0
2,1,1,4,13,23,13.0,23.0
3,1,1,8,32,100,32.0,100.0
4,1,1,16,58,319,58.0,319.0
0,1,1,1,3,3,3.0,3.0
1,1,1,2,5,7,5.0,7.0
2,1,1,4,15,44,15.0,44.0
3,1,1,8,29,64,29.0,64.0
4,1,1,16,65,455,65.0,455.0
0,1,1,1,5,7,5.0,7.0
1,1,1,2,14,22,14.0,22.0
2,1,1,4,20,65,20.0,65.0
3,1,1,8,30,81,30.0,81.0
4,1,1,16,50,395,50.0,395.0
0,1,1,1,2,4,2.0,4.0
1,1,1,2,6,7,6.0,7.0
2,1,1,4,14,19,14.0,19.0
3,1,1,8,34,50,34.0,50.0
4,1,1,16,73,607,73.0,607.0
0,1,1,1,4,3,4.0,3.0
1,1,1,2,10,12,10.0,12.0
2,1,1,4,17,33,17.0,33.0
3,1,1,8,31,148,31.0,148.0
4,1,1,16,66,251,66.0,251.0
0,1,1,1,2,2,2.0,2.0
1,1,1,2,6,9,6.0,9.0
2,1,1,4,18,37,18.0,37.0
3,1,1,8,35,122,35.0,122.0
4,1,1,16,63,544,63.0,544.0
0,1,1,1,5,6,5.0,6.0
