,pop_size,pop_infected,n_days,location,variants,rand_seed,cum_infections,cum_deaths,cum_recoveries,avg_age,wild_beta,rel_beta,beta
721,10000,100,200,Brazil,beta,978,8183.0,36.0,8147.0,35.122864,0.016,1.0,0.016
722,10000,100,200,South Africa,beta,656,7870.0,18.0,7852.0,29.974468,0.016,1.0,0.016
723,10000,100,200,India,beta,667,7974.0,28.0,7946.0,31.254353,0.016,1.0,0.016
724,10000,100,200,Brazil,beta,160,8216.0,42.0,8174.0,35.21871,0.016,1.0,0.016
725,10000,100,200,Brazil,gamma,183,8488.0,49.0,8439.0,34.930893,0.016,2.05,0.032799999999999996
726,10000,100,200,United Kingdom,gamma,570,8616.0,101.0,8515.0,41.26862,0.016,2.05,0.032799999999999996
727,10000,100,200,United Kingdom,alpha,305,8603.0,85.0,8518.0,41.33979,0.016,1.67,0.02672
728,10000,100,200,India,delta,177,8013.0,20.0,7993.0,31.137932,0.016,2.2,0.0352
729,10000,100,200,United Kingdom,alpha,953,8583.0,120.0,8463.0,41.6153,0.016,1.67,0.02672
730,10000,100,200,India,delta,441,8044.0,26.0,8018.0,31.043272,0.016,2.2,0.0352
731,10000,100,200,South Africa,beta,471,7883.0,19.0,7864.0,29.822681,0.016,1.0,0.016
732,10000,100,200,India,delta,476,8148.0,18.0,8130.0,31.409348,0.016,2.2,0.0352
733,10000,100,200,United Kingdom,beta,644,8460.0,75.0,8385.0,40.892418,0.016,1.0,0.016
734,10000,100,200,South Africa,beta,88,7905.0,21.0,7884.0,29.864622,0.016,1.0,0.016
735,10000,100,200,United Kingdom,alpha,401,8902.0,89.0,8813.0,41.93709,0.016,1.67,0.02672
736,10000,100,200,United Kingdom,alpha,894,8536.0,74.0,8462.0,41.356564,0.016,1.67,0.02672
737,10000,100,200,South Africa,delta,421,8308.0,17.0,8291.0,29.776869,0.016,2.2,0.0352
738,10000,100,200,Brazil,alpha,545,8212.0,46.0,8166.0,34.9953,0.016,1.67,0.02672
739,10000,100,200,Brazil,alpha,864,8373.0,43.0,8330.0,34.987644,0.016,1.67,0.02672
740,10000,100,200,Brazil,gamma,913,8265.0,38.0,8227.0,35.21931,0.016,2.05,0.032799999999999996
741,10000,100,200,United Kingdom,alpha,719,8635.0,82.0,8553.0,41.318893,0.016,1.67,0.02672
742,10000,100,200,South Africa,beta,642,7774.0,20.0,7754.0,29.562843,0.016,1.0,0.016
743,10000,100,200,South Africa,gamma,437,8771.0,22.0,8749.0,29.776491,0.016,2.05,0.032799999999999996
744,10000,100,200,India,delta,95,7918.0,32.0,7886.0,31.227076,0.016,2.2,0.0352
745,10000,100,200,Brazil,gamma,451,8150.0,34.0,8116.0,34.90586,0.016,2.05,0.032799999999999996
746,10000,100,200,Brazil,delta,921,9302.0,90.0,9212.0,34.944138,0.016,2.2,0.0352
747,10000,100,200,South Africa,beta,711,7829.0,21.0,7808.0,29.704079,0.016,1.0,0.016
748,10000,100,200,South Africa,gamma,350,7882.0,16.0,7866.0,29.791819,0.016,2.05,0.032799999999999996
749,10000,100,200,India,delta,37,8700.0,30.0,8670.0,30.878681,0.016,2.2,0.0352
750,10000,100,200,United Kingdom,alpha,632,8608.0,87.0,8521.0,41.447903,0.016,1.67,0.02672
751,10000,100,200,India,delta,695,8999.0,42.0,8957.0,31.217375,0.016,2.2,0.0352
752,10000,100,200,India,delta,393,7951.0,21.0,7930.0,31.138296,0.016,2.2,0.0352
753,10000,100,200,Brazil,gamma,180,8269.0,48.0,8221.0,35.1402,0.016,2.05,0.032799999999999996
754,10000,100,200,South Africa,beta,35,7854.0,27.0,7827.0,29.695347,0.016,1.0,0.016
755,10000,100,200,South Africa,beta,304,7853.0,20.0,7833.0,29.900188,0.016,1.0,0.016
756,10000,100,200,Brazil,delta,521,8280.0,45.0,8235.0,35.30913,0.016,2.2,0.0352
757,10000,100,200,United Kingdom,alpha,788,8654.0,95.0,8559.0,41.214867,0.016,1.67,0.02672
758,10000,100,200,United Kingdom,alpha,269,8633.0,84.0,8549.0,41.428967,0.016,1.67,0.02672
