,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1334,51633,20,hybrid,1000,216,Oman,gamma,1012887.0709158794,1280.0,1011748.6258294276,708,29.91765,0.016,2.0,0.032,1.0,7.017
1335,51633,20,hybrid,1000,216,Bangladesh,delta,994742.2503930774,3260.0,991699.449357058,990,30.18894,0.016,2.2,0.0352,1.0,3.4690000000000003
1336,51633,20,hybrid,1000,216,Bangladesh,delta,991563.7041404144,2640.0,989025.289256095,525,30.090448,0.016,2.2,0.0352,1.0,3.4690000000000003
1337,51633,20,hybrid,1000,216,Oman,gamma,1013031.3230466406,1180.0,1011780.433524027,640,30.001167,0.016,2.0,0.032,1.0,7.017
1338,51633,20,hybrid,1000,216,Gambia,alpha,980574.0398737416,1400.0,979188.0503377178,779,22.178333,0.016,1.67,0.02672,1.0,7.228999999999999
1339,51633,20,hybrid,1000,216,Bangladesh,delta,993111.0647730338,2480.0,990640.4965032672,737,30.289705,0.016,2.2,0.0352,1.0,3.4690000000000003
1340,51633,20,hybrid,1000,216,Oman,gamma,1014096.842795626,1520.0,1012516.9391127402,981,30.047771,0.016,2.0,0.032,1.0,7.017
1341,51633,20,hybrid,1000,216,Gambia,beta,896163.530279716,1220.0,894868.8283288188,763,22.36015,0.016,1.0,0.016,1.0,7.228999999999999
1342,51633,20,hybrid,1000,216,Gambia,alpha,981676.8463923612,1260.0,980516.5441987969,496,22.285395,0.016,1.67,0.02672,1.0,7.228999999999999
1343,51633,20,hybrid,1000,216,Mozambique,gamma,947962.4612724364,1260.0,947040.468398828,809,22.312746,0.016,2.0,0.032,1.0,3.366
1344,51633,20,hybrid,1000,216,Oman,gamma,1015046.4083515208,1660.0,1013368.2609765212,262,29.831045,0.016,2.0,0.032,1.0,7.017
1345,51633,20,hybrid,1000,216,Oman,gamma,1014517.1692896714,1440.0,1012998.1775331747,465,30.019588,0.016,2.0,0.032,1.0,7.017
1346,51633,20,hybrid,1000,216,Mozambique,beta,787490.9227264378,1120.0,786104.3572044695,116,22.368723,0.016,1.0,0.016,1.0,3.366
1347,51633,20,hybrid,1000,216,Mozambique,beta,782953.5720681809,1060.0,782122.281695755,319,22.271454,0.016,1.0,0.016,1.0,3.366
1348,51633,20,hybrid,1000,216,Mozambique,beta,784712.0859498023,1000.0,783464.01717389,644,22.236528,0.016,1.0,0.016,1.0,3.366
1349,51633,20,hybrid,1000,216,Gambia,alpha,978859.5168047705,1020.0,977850.501888172,997,22.06097,0.016,1.67,0.02672,1.0,7.228999999999999
1350,51633,20,hybrid,1000,216,Gambia,alpha,981386.8907471034,1020.0,980362.7768507164,864,22.301493,0.016,1.67,0.02672,1.0,7.228999999999999
1351,51633,20,hybrid,1000,216,Oman,gamma,1014152.6230161304,1200.0,1012945.9588929896,756,29.987114,0.016,2.0,0.032,1.0,7.017
1352,51633,20,hybrid,1000,216,Mozambique,beta,782874.8344362961,1380.0,781895.6871052905,917,22.37212,0.016,1.0,0.016,1.0,3.366
1353,51633,20,hybrid,1000,216,Bangladesh,delta,993210.7006922008,3080.0000000000005,990130.1225663392,0,30.272799,0.016,2.2,0.0352,1.0,3.4690000000000003
1354,51633,20,hybrid,1000,216,Gambia,alpha,979788.0271140598,900.0,979011.861494442,834,22.180779,0.016,1.67,0.02672,1.0,7.228999999999999
1355,51633,20,hybrid,1000,216,Gambia,gamma,997727.9664213638,1060.0,996758.8671491612,773,22.134119,0.016,2.0,0.032,1.0,7.228999999999999
1356,51633,20,hybrid,1000,216,Mozambique,beta,781989.7279109202,1000.0,780747.7604102248,972,22.250734,0.016,1.0,0.016,1.0,3.366
1357,51633,20,hybrid,1000,216,Oman,gamma,1014310.6961798376,1340.0,1013028.42697015,660,29.993902,0.016,2.0,0.032,1.0,7.017
1358,51633,20,hybrid,1000,216,Mozambique,beta,780188.5320400863,920.0,779899.7791210562,10,22.19296,0.016,1.0,0.016,1.0,3.366
1359,51633,20,hybrid,1000,216,Gambia,alpha,983847.88374443,1320.0,982585.8682933686,480,22.304026,0.016,1.67,0.02672,1.0,7.228999999999999
1360,51633,20,hybrid,1000,216,Gambia,alpha,985341.3021821756,1100.0,984358.7316077064,574,22.414238,0.016,1.67,0.02672,1.0,7.228999999999999
1361,51633,20,hybrid,1000,216,Mozambique,beta,787787.1024408748,980.0,786582.5447119923,786,22.231323,0.016,1.0,0.016,1.0,3.366
1362,51633,20,hybrid,1000,216,Oman,beta,959226.63321782,1360.0,957713.7022849148,435,29.900187,0.016,1.0,0.016,1.0,7.017
1363,51633,20,hybrid,1000,216,Bangladesh,delta,991339.6782022514,2800.0,988712.7799489496,242,30.150175,0.016,2.2,0.0352,1.0,3.4690000000000003
1364,51633,20,hybrid,1000,216,Bangladesh,alpha,966882.4763704366,2260.0,964474.387883752,530,30.199095,0.016,1.67,0.02672,1.0,3.4690000000000003
1365,51633,20,hybrid,1000,216,Bangladesh,delta,991480.5573962482,2360.0,989358.3158483268,520,30.264196,0.016,2.2,0.0352,1.0,3.4690000000000003
1366,51633,20,hybrid,1000,216,Oman,alpha,1005816.350488371,1640.0,1004169.3529555148,472,29.88288,0.016,1.67,0.02672,1.0,7.017
