,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
4509,4509,51633,20,hybrid,1000,216,Mozambique,alpha,921990.6856349792,1160.0,920995.249771204,49,22.326735,0.016,1.67,0.02672,1.0,3.366
4511,4511,51633,20,hybrid,1000,216,Gambia,alpha,982241.8021790268,950.5116134108462,981256.6101358868,428,22.232964,0.016,1.67,0.02672,1.0,7.228999999999999
4513,4513,51633,20,hybrid,1000,216,Gambia,beta,895735.4869322041,859.6154209861631,894992.2432809168,952,22.255625,0.016,1.0,0.016,1.0,7.228999999999999
4515,4515,51633,20,hybrid,1000,216,Gambia,alpha,984212.4344779146,960.0,983045.927119565,516,22.327026,0.016,1.67,0.02672,1.0,7.228999999999999
4516,4516,51633,20,hybrid,1000,216,Mozambique,delta,958636.1553075236,1000.0,957731.4771447728,896,22.24058,0.016,2.2,0.0352,1.0,3.366
4522,4522,51633,20,hybrid,1000,216,Gambia,alpha,979808.8485827824,980.0,978675.0580702906,321,22.29802,0.016,1.67,0.02672,1.0,7.228999999999999
4524,4524,51633,20,hybrid,1000,216,Mozambique,beta,780281.9318653366,992.8391846454888,779504.8048940734,198,22.245651,0.016,1.0,0.016,1.0,3.366
4527,4527,51633,20,hybrid,1000,216,Gambia,alpha,980320.1093121064,880.0,979531.561489278,542,22.317747,0.016,1.67,0.02672,1.0,7.228999999999999
4528,4528,51633,20,hybrid,1000,216,Gambia,alpha,981737.498577578,1100.0000000000002,980365.8183601114,963,22.2319,0.016,1.67,0.02672,1.0,7.228999999999999
4531,4531,51633,20,hybrid,1000,216,Mozambique,beta,779614.0242779927,900.0,778422.9501356531,613,22.18588,0.016,1.0,0.016,1.0,3.366
4532,4532,51633,20,hybrid,1000,216,Mozambique,beta,785516.4079689378,1180.0,784340.7157756083,19,22.344593,0.016,1.0,0.016,1.0,3.366
4533,4533,51633,20,hybrid,1000,216,Gambia,gamma,996599.586751397,1100.0,995390.2700760608,271,22.181942,0.016,2.0,0.032,1.0,7.228999999999999
