,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1485,3018,3018,51633,20,hybrid,1000,216,Mozambique,gamma,954452.4513406748,1340.0,952964.9340557858,365,22.277594,0.016,2.0,0.032,1.0,3.366
1486,3019,3019,51633,20,hybrid,1000,216,Mozambique,beta,776031.3490359866,1021.7552850937446,775308.0187263391,609,22.335114,0.016,1.0,0.016,1.0,3.366
1488,3024,3024,51633,20,hybrid,1000,216,Mozambique,beta,783378.4386947618,940.0,782115.5149799152,490,22.313889,0.016,1.0,0.016,1.0,3.366
1491,3027,3027,51633,20,hybrid,1000,216,Mozambique,beta,788428.5756949678,860.0,787691.3945017161,165,22.174469,0.016,1.0,0.016,1.0,3.366
1494,3035,3035,51633,20,hybrid,1000,216,Mozambique,beta,782126.883628192,940.0,780913.7844977141,987,22.298172,0.016,1.0,0.016,1.0,3.366
1496,3039,3039,51633,20,hybrid,1000,216,Mozambique,beta,780512.3736731044,870.6993205379072,779503.0951421423,56,22.30188,0.016,1.0,0.016,1.0,3.366
1498,3045,3045,51633,20,hybrid,1000,216,Mozambique,alpha,922565.2360654388,1220.0,921419.7303574882,287,22.176601,0.016,1.67,0.02672,1.0,3.366
1499,3047,3047,51633,20,hybrid,1000,216,Mozambique,alpha,920098.2248729964,1200.0,918831.6414802036,765,22.2416,0.016,1.67,0.02672,1.0,3.366
1500,3051,3051,51633,20,hybrid,1000,216,Mozambique,beta,781069.844869663,1044.29981696,780535.683024387,679,22.215511,0.016,1.0,0.016,1.0,3.366
1501,3055,3055,51633,20,hybrid,1000,216,Mozambique,beta,782395.0743655696,780.0,781507.918659511,93,22.234718,0.016,1.0,0.016,1.0,3.366
1502,3056,3056,51633,20,hybrid,1000,216,Mozambique,beta,782126.883628192,940.0,780913.7844977141,987,22.298172,0.016,1.0,0.016,1.0,3.366
1504,3059,3059,51633,20,hybrid,1000,216,Mozambique,delta,960612.8841090588,1020.0,959514.5264106804,33,22.356543,0.016,2.2,0.0352,1.0,3.366
