,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
598,1180,1180,51633,20,hybrid,1000,216,Gambia,alpha,977371.4248316344,1040.0000000000002,976272.9683108045,564,22.236116,0.016,1.67,0.02672,1.0,7.228999999999999
600,1185,1185,51633,20,hybrid,1000,216,Gambia,alpha,981039.92997599,780.0,980090.7902095446,148,22.266588,0.016,1.67,0.02672,1.0,7.228999999999999
601,1189,1189,51633,20,hybrid,1000,216,Gambia,delta,1004598.7302958404,1120.0,1003642.2055539488,897,22.254679,0.016,2.2,0.0352,1.0,7.228999999999999
602,1190,1190,51633,20,hybrid,1000,216,Gambia,alpha,983125.1997416652,940.0,982074.4157099356,285,22.317818,0.016,1.67,0.02672,1.0,7.228999999999999
604,1192,1192,51633,20,hybrid,1000,216,Gambia,alpha,983038.6195041818,1200.0,982002.3328527414,374,22.158764,0.016,1.67,0.02672,1.0,7.228999999999999
605,1193,1193,51633,20,hybrid,1000,216,Gambia,alpha,978602.249852614,1120.0,977548.3706687414,37,22.033293,0.016,1.67,0.02672,1.0,7.228999999999999
608,1199,1199,51633,20,hybrid,1000,216,Gambia,delta,1003700.5191202788,1180.0,1002411.9946720892,824,22.356329,0.016,2.2,0.0352,1.0,7.228999999999999
610,1209,1209,51633,20,hybrid,1000,216,Gambia,delta,1002781.2337385684,1020.0,1001833.010724454,198,22.170351,0.016,2.2,0.0352,1.0,7.228999999999999
611,1211,1211,51633,20,hybrid,1000,216,Gambia,alpha,979245.3507532652,1120.0,978275.5635461268,998,22.125536,0.016,1.67,0.02672,1.0,7.228999999999999
616,1225,1225,51633,20,hybrid,1000,216,Gambia,delta,1003764.8953110832,1060.0,1002902.1322569752,506,22.220364,0.016,2.2,0.0352,1.0,7.228999999999999
617,1227,1227,51633,20,hybrid,1000,216,Gambia,alpha,980765.56426977,1160.0,979431.8541630972,699,22.17528,0.016,1.67,0.02672,1.0,7.228999999999999
618,1228,1228,51633,20,hybrid,1000,216,Gambia,alpha,980483.5504863268,1120.0,979446.9866086028,358,22.110977,0.016,1.67,0.02672,1.0,7.228999999999999
620,1230,1230,51633,20,hybrid,1000,216,Gambia,alpha,979778.4897475328,1180.0,978618.1068689068,470,22.234032,0.016,1.67,0.02672,1.0,7.228999999999999
621,1233,1233,51633,20,hybrid,1000,216,Gambia,alpha,979936.7912140172,1080.0,978797.0285090904,486,22.171722,0.016,1.67,0.02672,1.0,7.228999999999999
626,1241,1241,51633,20,hybrid,1000,216,Gambia,alpha,981103.7882221858,1000.0,980214.1308563276,38,22.234457,0.016,1.67,0.02672,1.0,7.228999999999999
630,1250,1250,51633,20,hybrid,1000,216,Gambia,beta,899458.2976162113,1240.0,897902.2965920328,145,22.180674,0.016,1.0,0.016,1.0,7.228999999999999
631,1252,1252,51633,20,hybrid,1000,216,Gambia,alpha,978146.738504852,1500.0,976706.2857354076,630,22.085735,0.016,1.67,0.02672,1.0,7.228999999999999
632,1254,1254,51633,20,hybrid,1000,216,Gambia,alpha,983153.33138863,1120.0,982113.0508889352,672,22.175383,0.016,1.67,0.02672,1.0,7.228999999999999
