,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
5109,5109,51633,20,hybrid,1000,216,Bangladesh,delta,993659.2099039436,2700.0,991056.713527537,674,30.168879,0.016,2.2,0.0352,1.0,3.4690000000000003
5110,5110,51633,20,hybrid,1000,216,Oman,gamma,1015207.6505794176,1680.0,1013572.8834208456,103,30.005325,0.016,2.0,0.032,1.0,7.017
5113,5113,51633,20,hybrid,1000,216,Oman,gamma,1014529.5563257914,1540.0,1012984.6607646048,353,30.07502,0.016,2.0,0.032,1.0,7.017
5115,5115,51633,20,hybrid,1000,216,Bangladesh,delta,994459.2908796278,2600.0,991829.204136295,935,30.072458,0.016,2.2,0.0352,1.0,3.4690000000000003
5116,5116,51633,20,hybrid,1000,216,Oman,gamma,1013864.8952626104,1720.0,1012215.6405652578,802,30.072304,0.016,2.0,0.032,1.0,7.017
5126,5126,51633,20,hybrid,1000,216,Bangladesh,delta,993897.3546016325,2560.0,991375.9797846436,584,30.232899,0.016,2.2,0.0352,1.0,3.4690000000000003
5128,5128,51633,20,hybrid,1000,216,Oman,gamma,1015052.3995816152,1400.0,1013690.8795231916,119,29.906063,0.016,2.0,0.032,1.0,7.017
5129,5129,51633,20,hybrid,1000,216,Bangladesh,delta,992635.2828218768,2520.0,990045.8918084943,824,30.311838,0.016,2.2,0.0352,1.0,3.4690000000000003
5130,5130,51633,20,hybrid,1000,216,Bangladesh,delta,993455.5025998838,2720.0,990393.9722987118,829,30.147953,0.016,2.2,0.0352,1.0,3.4690000000000003
5131,5131,51633,20,hybrid,1000,216,Bangladesh,beta,872992.4422700352,2170.699320537907,870662.4406200199,478,30.081396,0.016,1.0,0.016,1.0,3.4690000000000003
5133,5133,51633,20,hybrid,1000,216,Bangladesh,delta,991281.4996093456,2820.0,988715.2148048067,87,29.959982,0.016,2.2,0.0352,1.0,3.4690000000000003
5134,5134,51633,20,hybrid,1000,216,Bangladesh,delta,992258.0064390316,2560.0,989750.7847587244,764,30.151333,0.016,2.2,0.0352,1.0,3.4690000000000003
5135,5135,51633,20,hybrid,1000,216,Bangladesh,delta,993124.304674842,2420.0,990696.4627328888,599,30.167772,0.016,2.2,0.0352,1.0,3.4690000000000003
5136,5136,51633,20,hybrid,1000,216,Bangladesh,delta,992876.900113464,2560.0,990288.533365816,830,30.060976,0.016,2.2,0.0352,1.0,3.4690000000000003
5141,5141,51633,20,hybrid,1000,216,Oman,gamma,1014088.3633981876,1200.0,1012945.7595734404,362,29.98211,0.016,2.0,0.032,1.0,7.017
5142,5142,51633,20,hybrid,1000,216,Bangladesh,alpha,966786.1194907194,2800.0,964116.03576784,855,30.084354,0.016,1.67,0.02672,1.0,3.4690000000000003
5144,5144,51633,20,hybrid,1000,216,Bangladesh,delta,991197.9137649185,2200.0,989110.2175258588,796,30.257418,0.016,2.2,0.0352,1.0,3.4690000000000003
5145,5145,51633,20,hybrid,1000,216,Bangladesh,delta,993009.7014970282,2800.0,989990.2183028216,127,30.221375,0.016,2.2,0.0352,1.0,3.4690000000000003
5147,5147,51633,20,hybrid,1000,216,Oman,gamma,1014193.7775104884,1620.0,1012612.7782791517,910,29.99815,0.016,2.0,0.032,1.0,7.017
5148,5148,51633,20,hybrid,1000,216,Bangladesh,delta,993865.7136364044,3240.0,990532.182582964,885,30.278816,0.016,2.2,0.0352,1.0,3.4690000000000003
5149,5149,51633,20,hybrid,1000,216,Bangladesh,alpha,970643.7835148068,2480.0,968038.7664351196,669,30.109013,0.016,1.67,0.02672,1.0,3.4690000000000003
