,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
303,303,51633,20,hybrid,1000,216,Oman,gamma,1015500.024994936,1620.0,1013694.4713522388,908,30.056011,0.016,2.05,0.0327999999999999,1.0,7.017
304,304,51633,20,hybrid,1000,216,Oman,gamma,1016124.13349238,1740.0,1014295.4155654196,505,30.049458,0.016,2.05,0.0327999999999999,1.0,7.017
308,308,51633,20,hybrid,1000,216,Oman,gamma,1014569.1680556156,1380.0,1013255.2011481028,492,29.965187,0.016,2.05,0.0327999999999999,1.0,7.017
310,310,51633,20,hybrid,1000,216,Oman,gamma,1014873.4229147064,1440.0,1013430.458590165,512,29.959503,0.016,2.05,0.0327999999999999,1.0,7.017
312,312,51633,20,hybrid,1000,216,Oman,beta,955673.1030490652,1554.5393455377202,953895.1387421718,589,29.92024,0.016,1.0,0.016,1.0,7.017
315,315,51633,20,hybrid,1000,216,Bangladesh,delta,994003.166910017,2780.0,991367.7323402312,464,30.108576,0.016,2.2,0.0352,1.0,3.4690000000000003
316,316,51633,20,hybrid,1000,216,Bangladesh,delta,994078.020901371,2520.0,991601.76512326,59,30.099913,0.016,2.2,0.0352,1.0,3.4690000000000003
317,317,51633,20,hybrid,1000,216,Oman,gamma,1015657.5357630608,1620.0,1014187.7491660056,925,29.968184,0.016,2.05,0.0327999999999999,1.0,7.017
320,320,51633,20,hybrid,1000,216,Bangladesh,delta,991835.5150027092,2980.0,988796.2874934986,821,30.274635,0.016,2.2,0.0352,1.0,3.4690000000000003
324,324,51633,20,hybrid,1000,216,Bangladesh,delta,993807.0020809574,2640.0,991236.5152366736,421,30.096525,0.016,2.2,0.0352,1.0,3.4690000000000003
326,326,51633,20,hybrid,1000,216,Bangladesh,delta,993718.171714005,2840.0000000000005,990935.538987465,912,30.04977,0.016,2.2,0.0352,1.0,3.4690000000000003
329,329,51633,20,hybrid,1000,216,Oman,gamma,1014894.6319474326,1800.0,1013002.5819979382,838,29.966906,0.016,2.05,0.0327999999999999,1.0,7.017
331,331,51633,20,hybrid,1000,216,Bangladesh,delta,994098.2362721284,2300.0,991688.31818532,370,30.061918,0.016,2.2,0.0352,1.0,3.4690000000000003
332,332,51633,20,hybrid,1000,216,Bangladesh,delta,991304.506357624,2700.0,988610.0558666312,427,30.142149,0.016,2.2,0.0352,1.0,3.4690000000000003
333,333,51633,20,hybrid,1000,216,Bangladesh,delta,993584.6188335242,2520.0,991162.3583835834,974,30.242682,0.016,2.2,0.0352,1.0,3.4690000000000003
335,335,51633,20,hybrid,1000,216,Oman,gamma,1014973.9239896382,1520.0,1013434.822757496,746,29.975996,0.016,2.05,0.0327999999999999,1.0,7.017
338,338,51633,20,hybrid,1000,216,Oman,gamma,1015667.3398678266,1220.0,1014210.532414123,831,29.980328,0.016,2.05,0.0327999999999999,1.0,7.017
340,340,51633,20,hybrid,1000,216,Oman,delta,1017375.401676122,1360.0,1016218.7343188165,130,29.941278,0.016,2.2,0.0352,1.0,7.017
341,341,51633,20,hybrid,1000,216,Bangladesh,alpha,970413.3999904228,2760.0,967801.3078737052,671,30.158016,0.016,1.67,0.02672,1.0,3.4690000000000003
342,342,51633,20,hybrid,1000,216,Bangladesh,delta,994032.3946379848,2960.0,991047.8529519778,175,30.181124,0.016,2.2,0.0352,1.0,3.4690000000000003
343,343,51633,20,hybrid,1000,216,Oman,alpha,1007006.9475529288,1440.0,1005626.5438969904,69,29.954218,0.016,1.67,0.02672,1.0,7.017
344,344,51633,20,hybrid,1000,216,Bangladesh,gamma,990526.8664472816,2700.0,987779.2414559204,505,30.28629,0.016,2.05,0.0327999999999999,1.0,3.4690000000000003
348,348,51633,20,hybrid,1000,216,Bangladesh,beta,870697.6220378674,2280.0,868389.8494823663,524,30.261646,0.016,1.0,0.016,1.0,3.4690000000000003
349,349,51633,20,hybrid,1000,216,Oman,gamma,1014298.2130206794,1420.0,1012818.4522366896,181,30.086908,0.016,2.05,0.0327999999999999,1.0,7.017
350,350,51633,20,hybrid,1000,216,Bangladesh,alpha,969275.0670083556,2680.0,966615.4619086589,341,30.278183,0.016,1.67,0.02672,1.0,3.4690000000000003
351,351,51633,20,hybrid,1000,216,Bangladesh,delta,991435.6613619088,2744.5759897535054,988969.0257326296,331,30.074564,0.016,2.2,0.0352,1.0,3.4690000000000003
353,353,51633,20,hybrid,1000,216,Oman,gamma,1016057.3272974913,1400.0,1014705.2992784678,844,30.074018,0.016,2.05,0.0327999999999999,1.0,7.017
357,357,51633,20,hybrid,1000,216,Oman,gamma,1015696.913825688,1240.0,1014398.9026118172,947,30.01628,0.016,2.05,0.0327999999999999,1.0,7.017
360,360,51633,20,hybrid,1000,216,Oman,gamma,1015536.5285559362,1640.0,1013862.236898814,953,29.950134,0.016,2.05,0.0327999999999999,1.0,7.017
361,361,51633,20,hybrid,1000,216,Bangladesh,delta,994264.0133834956,2740.0,991441.372217336,649,30.35508,0.016,2.2,0.0352,1.0,3.4690000000000003
363,363,51633,20,hybrid,1000,216,Oman,gamma,1014892.2707501696,1400.0,1013540.977180796,398,29.959427,0.016,2.05,0.0327999999999999,1.0,7.017
364,364,51633,20,hybrid,1000,216,Bangladesh,delta,992167.7020258892,2840.0,989161.8664742566,534,30.113287,0.016,2.2,0.0352,1.0,3.4690000000000003
365,365,51633,20,hybrid,1000,216,Oman,gamma,1015280.3104487672,1300.0,1014005.8217779252,36,29.971842,0.016,2.05,0.0327999999999999,1.0,7.017
367,367,51633,20,hybrid,1000,216,Oman,gamma,1014688.9330209123,1460.0,1013045.4930621516,47,30.048225,0.016,2.05,0.0327999999999999,1.0,7.017
368,368,51633,20,hybrid,1000,216,Oman,gamma,1015951.7067146872,1160.0,1014690.5119570032,3,30.102674,0.016,2.05,0.0327999999999999,1.0,7.017
372,372,51633,20,hybrid,1000,216,Bangladesh,delta,991238.114830112,2520.0,988662.2747764993,949,29.946915,0.016,2.2,0.0352,1.0,3.4690000000000003
373,373,51633,20,hybrid,1000,216,Bangladesh,delta,991386.9009949232,2600.0,988804.2698933122,811,30.13392,0.016,2.2,0.0352,1.0,3.4690000000000003
376,376,51633,20,hybrid,1000,216,Oman,gamma,1015655.8612271686,1740.0,1014054.368580284,302,30.005571,0.016,2.05,0.0327999999999999,1.0,7.017
