,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
704,51633,20,hybrid,1000,216,Bangladesh,delta,992902.406568565,2620.0,990591.5401875661,531,30.275667,0.016,2.2,0.0352,1.0,3.4690000000000003
705,51633,20,hybrid,1000,216,Gambia,alpha,979788.6597891047,1120.0,978695.666650755,388,22.193491,0.016,1.67,0.02672,1.0,7.228999999999999
706,51633,20,hybrid,1000,216,Oman,delta,1017568.8438831026,1540.0,1016048.2417468514,818,30.064045,0.016,2.2,0.0352,1.0,7.0169999999999995
707,51633,20,hybrid,1000,216,Gambia,beta,903703.8350012462,960.0,902868.5502682268,977,22.177444,0.016,1.0,0.016,1.0,7.228999999999999
708,51633,20,hybrid,1000,216,Gambia,alpha,979329.6782453848,980.0,978423.802654912,491,22.06755,0.016,1.67,0.02672,1.0,7.228999999999999
709,51633,20,hybrid,1000,216,Bangladesh,gamma,986947.1041846051,2720.0,984411.6316275898,854,30.045416,0.016,2.05,0.032799999999999996,1.0,3.4690000000000003
710,51633,20,hybrid,1000,216,Mozambique,beta,787673.3477234459,1120.0,786687.9466577793,619,22.241692,0.016,1.0,0.016,1.0,3.3659999999999997
711,51633,20,hybrid,1000,216,Gambia,alpha,981865.8636912804,1100.0,980763.3094627796,419,22.147223,0.016,1.67,0.02672,1.0,7.228999999999999
712,51633,20,hybrid,1000,216,Gambia,beta,897165.651814505,1040.0,896100.5670265619,41,22.211716,0.016,1.0,0.016,1.0,7.228999999999999
713,51633,20,hybrid,1000,216,Gambia,gamma,997218.4167281375,980.0,996440.778241867,196,22.027746,0.016,2.05,0.032799999999999996,1.0,7.228999999999999
714,51633,20,hybrid,1000,216,Oman,gamma,1014619.1043368715,1400.0000000000002,1013055.389851389,952,29.992428,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
715,51633,20,hybrid,1000,216,Gambia,alpha,978949.862323177,1200.0,977716.7143113242,905,22.29528,0.016,1.67,0.02672,1.0,7.228999999999999
716,51633,20,hybrid,1000,216,Mozambique,beta,781361.0605940017,1005.159780352,780518.2882741616,973,22.362923,0.016,1.0,0.016,1.0,3.3659999999999997
