,Unnamed: 0,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage,rest_voltage,max_voltage_gradient,dome_voltage,APD50,APD90
96,96,0.3457306381130339,0.5011526180582645,0.7930066516182727,0.45178577710510004,0.8000399707095308,0.9952483223502328,45.76043539686957,-83.3565771733396,320.112837877699,5.653838598095609,215,311
97,97,0.5506204144700385,0.6960266135264284,0.4697652626670243,0.6712762186526179,0.20328857107884227,0.600484821702755,47.17890032834331,-84.24533514019514,341.83872975062786,13.60812227846442,278,377
98,98,0.05017862940469539,0.5483169960250129,0.23464560162632223,0.2465651237830357,0.8679179542527514,0.45114554916585514,41.66210564579969,-83.67267475113387,297.79610291106883,11.04585979106983,298,405
99,99,0.8671020431400077,0.6015821268654701,0.8653882625927433,0.16863142658079436,0.838290684774913,0.9704687444819454,51.62691282651501,-82.5865381196522,364.59328287089096,6.81535487874716,210,326
100,100,0.718849836682096,0.1360518901904976,0.4455286191842989,0.22025437525501512,0.651473828118628,0.26963856728073893,49.64406518072561,-84.09751709323933,357.0213420735581,8.26826184791858,234,336
101,101,0.0929866929295105,0.7380844489234093,0.9422455905072749,0.9746382144710989,0.39012480330481214,0.40086698533941884,40.56517485860119,-84.89697608111626,305.0318497725794,14.31454075167884,281,351
102,102,0.9346189514289971,0.9244533985338141,0.5423477119828871,0.6764172894760824,0.21350605987441093,0.9858464375066411,51.02322326538049,-83.68642108678776,376.4454228758885,12.473017310110665,260,374
103,103,0.9074345040255285,0.19640111473034236,0.6656015981274047,0.2791865764015728,0.2868703658561809,0.5181658814978499,51.394213764172285,-83.79739770789415,373.6070049872598,7.596431670716197,208,310
104,104,0.05986282645279378,0.944060487792167,0.9271987488121299,0.9932948335077384,0.3100724516846359,0.13061797709375514,39.97470628495313,-85.10726949320545,301.5646484242222,39.97470628495313,319,389
105,105,0.01492738729882806,0.28024723149773867,0.21749463969382615,0.623365281810552,0.45970772311696356,0.6957955755121289,40.294776703844384,-84.21661599317832,290.2277979002663,40.294776703844384,252,336
106,106,0.4634448344837895,0.5868139229430425,0.9658128350517011,0.4933194930872838,0.8222632232133745,0.5553154851607623,46.55692503849438,-84.03246886671714,324.5120352390344,9.771210142363476,242,334
107,107,0.7375780935642848,0.2949595454803373,0.8560177868861369,0.07946813293638245,0.684486180144239,0.19566581738099198,50.17344648496614,-83.79586018997338,362.9344920055111,10.114592744067624,233,334
108,108,0.6979765791906346,0.5976297851974837,0.4437871776357252,0.6376493113491677,0.9308637125426441,0.6447641221747716,48.630749121609526,-84.18482577042118,334.3443660547786,9.591671520693302,261,365
109,109,0.5711656228536688,0.7801762318988745,0.3575271468754113,0.8749634415578055,0.687907629161797,0.9029620886339583,47.01231617937376,-84.19695635875478,344.9224917626412,10.28945504630586,271,373
110,110,0.5562646244042793,0.8785512136632795,0.5653446385315761,0.7503595688326952,0.029554059371444553,0.9595995309228617,47.47150257086926,-83.87140118000828,328.374036552047,12.897307420321903,265,366
111,111,0.8595787264494437,0.3963730996477091,0.1319708645954279,0.8967087269111279,0.13283653101996382,0.6549689005666,49.52230655176858,-84.64656537387734,365.6870374824786,10.379123286342043,257,356
112,112,0.2747780024806504,0.33673558121033137,0.7602217272373035,0.5474665290744082,0.7568110476776961,0.23656558780222636,43.7947169150086,-84.66522641185293,319.91120264096094,10.13839997093251,254,335
113,113,0.4185089528448888,0.6466512887782574,0.7499415160885772,0.15119544847906752,0.9578065978474818,0.0,46.370625587336285,-84.08273573486706,322.5816654836385,14.786709554318197,297,399
114,114,0.7636300823157395,0.837877722608059,0.40688444723837924,0.38746208661235787,0.09925261409731104,0.07678557874970686,49.53489575765646,-84.29405566640679,344.37221810421005,21.556634281853132,332,446
115,115,0.48960511566656095,0.7506159627776087,0.27991287235630047,0.21444680261265578,0.16897675430727888,0.9404993845370043,48.34658963158085,-82.71626308968027,332.7176056453838,11.55969618871309,265,392
116,116,0.6651488371453711,0.8451529032885378,0.1021438071542261,0.820640810498516,0.2955903267830889,0.9099185594780486,48.24274839229182,-84.07399668845058,340.49983527079416,12.65873727804321,292,408
117,117,0.9731354697952773,0.9651655011987378,0.13671461620899286,0.8575549151044619,0.5795496409798954,0.6206367061449136,50.451189184401485,-84.39794028145621,360.6174495352543,15.189029203441958,320,446
