,Unnamed: 0,Unnamed: 0.1,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage_gradient,max_voltage,dome_voltage,APD90,rest_voltage,APD50,APDr_slope,min_di
20,20,20,0.1252,0.1067,0.3545,0.9005,0.1396,0.0833,365.7045,41.0668,11.8417,340.3948,-85.5804,310.887,1.5458,5.7088
21,21,21,0.9019,0.8417,0.7377,0.3054,0.2455,0.9566,464.5317,51.8142,11.3962,362.2665,-83.1268,316.1613,1.0074,5.2278
22,22,22,0.0592,0.0192,0.1639,0.2775,0.0708,0.1347,355.0497,41.5702,10.5999,353.5227,-84.6839,315.4794,1.3619,5.4201
23,23,23,0.6709,0.9078,0.0954,0.6119,0.333,0.1263,439.7844,48.1372,20.2752,494.0969,-84.96,437.8664,1.3332,4.6577
24,24,24,0.7217,0.9225,0.8734,0.4864,0.2642,0.1425,445.9932,48.9811,19.4994,399.8461,-84.7701,352.0065,1.3077,5.5018
25,25,25,0.4273,0.5131,0.8457,0.3949,0.2828,0.0603,407.682,46.0767,15.7621,363.5696,-84.8654,322.8689,1.1882,5.1992
26,26,26,0.3437,0.1226,0.9987,0.6821,0.8029,0.4286,395.7381,44.4606,5.6977,284.726,-84.8525,257.3624,2.2799,6.9329
27,27,27,0.9948,0.1783,0.8356,0.9298,0.5064,0.6731,478.8455,50.4404,5.3021,280.4898,-84.853,255.2735,2.0124,7.0261
28,28,28,0.3688,0.6861,0.0291,0.6529,0.498,0.8394,397.9473,45.3704,10.8034,404.5759,-84.1257,364.5691,1.1732,5.5007
29,29,29,0.4382,0.8131,0.5112,0.2977,0.7502,0.7852,406.2036,47.2381,11.0135,389.4797,-83.4096,343.0454,1.0342,5.7867
30,30,30,0.1618,0.0264,0.9948,0.2199,0.0754,0.7178,367.8573,43.8983,3.3595,266.8667,-83.5146,235.2421,2.089,7.3257
31,31,31,0.2951,0.7426,0.4618,0.4447,0.5952,0.4446,388.338,44.6615,13.6934,402.3518,-84.2989,358.4287,1.1787,5.5633
32,32,32,0.294,0.9564,0.8422,0.0354,0.2883,0.7064,385.3063,46.4981,14.273,389.3827,-82.7248,333.8444,0.9933,5.7894
33,33,33,0.9262,0.3153,0.0581,0.8673,0.2685,0.9525,469.7265,50.4078,6.3186,330.1605,-84.3994,301.0288,1.3721,5.9338
34,34,34,0.2456,0.6224,0.9739,0.6432,0.5606,0.4984,381.5475,43.5045,11.5463,339.2786,-84.5904,304.6744,1.5615,7.1667
35,35,35,0.2876,0.3205,0.906,0.2132,0.8739,0.3112,387.1878,44.9827,8.85,328.7002,-84.1562,291.6984,1.4407,5.9659
36,36,36,0.3792,0.2039,0.5343,0.5542,0.1143,0.7808,399.4082,45.7765,6.0806,301.5229,-84.121,270.8553,1.9424,6.5636
37,37,37,0.7009,0.7606,0.3876,0.0743,0.6224,0.2337,441.7967,50.0652,15.6314,438.8797,-83.8136,383.4665,1.0664,5.6689
38,38,38,0.1576,0.7196,0.2899,0.8482,0.9005,0.2273,369.9136,41.5196,14.281,424.1411,-85.2122,385.9015,1.2568,4.95
39,39,39,0.8844,0.2577,0.6891,0.4533,0.118,0.4378,465.3924,50.7508,9.9041,319.8363,-84.4434,285.7424,1.4121,6.1609
40,40,40,0.0806,0.5849,0.0126,0.5661,0.2189,0.6392,357.2184,41.5701,12.462,410.1287,-84.277,367.3955,1.1371,5.3444
41,41,41,0.4518,0.396,0.3108,0.5926,0.4546,0.617,409.7985,46.2839,9.2747,353.2019,-84.3971,318.6555,1.3523,5.4271
42,42,42,0.0445,0.1041,0.9043,0.6927,0.8903,0.0953,353.4417,40.0281,8.1269,306.2816,-85.3363,277.9086,1.6931,6.4589
43,43,43,0.7505,0.0142,0.5163,0.3993,0.462,0.1045,449.8623,49.236,8.8243,322.1131,-84.9408,289.8558,1.336,4.8886
44,44,44,0.6898,0.4891,0.4115,0.1056,0.1931,0.2805,440.5624,49.9918,14.3058,391.8764,-83.9035,342.7135,1.1059,5.7209
45,45,45,0.2048,0.2465,0.4448,0.4716,0.5117,0.7422,374.7357,43.6135,5.9828,317.9404,-84.0142,285.1893,1.4931,6.2026
46,46,46,0.6651,0.3139,0.2676,0.0658,0.556,0.3979,436.7176,49.8944,9.8694,375.2269,-83.6382,330.3848,0.9826,6.1785
47,47,47,0.5516,0.2735,0.9301,0.7417,0.3933,0.8342,422.7144,47.1625,5.2542,282.7094,-84.3508,255.0768,2.2943,8.7216
48,48,48,0.8331,0.1662,0.9644,0.0551,0.0065,0.9188,455.0312,52.0088,4.0366,277.8862,-82.6025,240.5588,1.8441,5.6667
49,49,49,0.5575,0.3625,0.4713,0.9451,0.649,0.3778,425.0251,46.2605,10.1013,344.9688,-85.2139,315.284,1.4748,5.6082
50,50,50,0.9462,0.6755,0.9818,0.7487,0.4702,0.0223,474.3924,49.9449,16.8222,366.0663,-85.3672,329.4005,1.2737,5.1443
51,51,51,0.3848,0.1897,0.397,0.9219,0.3464,0.5532,401.5208,44.6097,7.544,315.8284,-84.9999,288.3556,1.5319,6.249
